Trace1,
Freq,,Amp,,
             1000000,Hz,              -21.32, dBm,
             1331666,Hz,              -31.44, dBm,
             1663332,Hz,              -48.46, dBm,
             1994998,Hz,              -69.49, dBm,
             2326664,Hz,              -70.89, dBm,
             2658330,Hz,              -72.03, dBm,
             2989996,Hz,              -71.86, dBm,
             3321662,Hz,              -71.69, dBm,
             3653328,Hz,              -71.47, dBm,
             3984994,Hz,              -72.10, dBm,
             4316660,Hz,              -72.12, dBm,
             4648326,Hz,              -71.90, dBm,
             4979992,Hz,              -71.26, dBm,
             5311658,Hz,              -69.46, dBm,
             5643324,Hz,              -67.88, dBm,
             5974990,Hz,              -68.56, dBm,
             6306656,Hz,              -69.66, dBm,
             6638322,Hz,              -70.33, dBm,
             6969988,Hz,              -71.15, dBm,
             7301654,Hz,              -70.91, dBm,
             7633320,Hz,              -70.30, dBm,
             7964986,Hz,              -70.47, dBm,
             8296652,Hz,              -70.74, dBm,
             8628318,Hz,              -71.06, dBm,
             8959984,Hz,              -71.29, dBm,
             9291650,Hz,              -71.03, dBm,
             9623316,Hz,              -70.49, dBm,
             9954982,Hz,              -69.93, dBm,
            10286648,Hz,              -70.41, dBm,
            10618314,Hz,              -69.80, dBm,
            10949980,Hz,              -69.41, dBm,
            11281646,Hz,              -69.71, dBm,
            11613312,Hz,              -69.62, dBm,
            11944978,Hz,              -70.73, dBm,
            12276644,Hz,              -72.58, dBm,
            12608310,Hz,              -73.35, dBm,
            12939976,Hz,              -73.72, dBm,
            13271642,Hz,              -73.99, dBm,
            13603308,Hz,              -74.20, dBm,
            13934974,Hz,              -74.26, dBm,
            14266640,Hz,              -74.14, dBm,
            14598306,Hz,              -74.12, dBm,
            14929972,Hz,              -74.44, dBm,
            15261638,Hz,              -74.22, dBm,
            15593304,Hz,              -74.25, dBm,
            15924970,Hz,              -74.13, dBm,
            16256636,Hz,              -74.34, dBm,
            16588302,Hz,              -74.43, dBm,
            16919968,Hz,              -74.52, dBm,
            17251634,Hz,              -74.42, dBm,
            17583300,Hz,              -74.52, dBm,
            17914966,Hz,              -74.34, dBm,
            18246632,Hz,              -74.56, dBm,
            18578298,Hz,              -74.83, dBm,
            18909964,Hz,              -74.56, dBm,
            19241630,Hz,              -74.77, dBm,
            19573296,Hz,              -74.87, dBm,
            19904962,Hz,              -75.03, dBm,
            20236628,Hz,              -74.98, dBm,
            20568294,Hz,              -74.88, dBm,
            20899960,Hz,              -74.94, dBm,
            21231626,Hz,              -74.79, dBm,
            21563292,Hz,              -74.75, dBm,
            21894958,Hz,              -74.68, dBm,
            22226624,Hz,              -74.92, dBm,
            22558290,Hz,              -74.76, dBm,
            22889956,Hz,              -75.06, dBm,
            23221622,Hz,              -75.22, dBm,
            23553288,Hz,              -75.46, dBm,
            23884954,Hz,              -75.48, dBm,
            24216620,Hz,              -75.50, dBm,
            24548286,Hz,              -75.38, dBm,
            24879952,Hz,              -74.97, dBm,
            25211618,Hz,              -74.78, dBm,
            25543284,Hz,              -74.61, dBm,
            25874950,Hz,              -75.00, dBm,
            26206616,Hz,              -75.44, dBm,
            26538282,Hz,              -75.04, dBm,
            26869948,Hz,              -74.88, dBm,
            27201614,Hz,              -75.40, dBm,
            27533280,Hz,              -75.27, dBm,
            27864946,Hz,              -75.31, dBm,
            28196612,Hz,              -75.07, dBm,
            28528278,Hz,              -75.30, dBm,
            28859944,Hz,              -74.99, dBm,
            29191610,Hz,              -75.24, dBm,
            29523276,Hz,              -75.37, dBm,
            29854942,Hz,              -75.27, dBm,
            30186608,Hz,              -75.52, dBm,
            30518274,Hz,              -74.52, dBm,
            30849940,Hz,              -74.95, dBm,
            31181606,Hz,              -74.88, dBm,
            31513272,Hz,              -75.45, dBm,
            31844938,Hz,              -75.36, dBm,
            32176604,Hz,              -75.45, dBm,
            32508270,Hz,              -75.42, dBm,
            32839936,Hz,              -75.84, dBm,
            33171602,Hz,              -75.38, dBm,
            33503268,Hz,              -75.69, dBm,
            33834934,Hz,              -75.86, dBm,
            34166600,Hz,              -75.68, dBm,
            34498266,Hz,              -75.68, dBm,
            34829932,Hz,              -75.80, dBm,
            35161598,Hz,              -75.53, dBm,
            35493264,Hz,              -75.33, dBm,
            35824930,Hz,              -75.99, dBm,
            36156596,Hz,              -76.07, dBm,
            36488262,Hz,              -76.12, dBm,
            36819928,Hz,              -76.17, dBm,
            37151594,Hz,              -76.09, dBm,
            37483260,Hz,              -76.56, dBm,
            37814926,Hz,              -76.71, dBm,
            38146592,Hz,              -76.34, dBm,
            38478258,Hz,              -76.28, dBm,
            38809924,Hz,              -76.22, dBm,
            39141590,Hz,              -76.64, dBm,
            39473256,Hz,              -76.56, dBm,
            39804922,Hz,              -76.56, dBm,
            40136588,Hz,              -76.60, dBm,
            40468254,Hz,              -76.75, dBm,
            40799920,Hz,              -76.92, dBm,
            41131586,Hz,              -76.37, dBm,
            41463252,Hz,              -76.51, dBm,
            41794918,Hz,              -76.39, dBm,
            42126584,Hz,              -76.36, dBm,
            42458250,Hz,              -76.56, dBm,
            42789916,Hz,              -76.65, dBm,
            43121582,Hz,              -76.36, dBm,
            43453248,Hz,              -76.34, dBm,
            43784914,Hz,              -76.60, dBm,
            44116580,Hz,              -76.71, dBm,
            44448246,Hz,              -76.87, dBm,
            44779912,Hz,              -77.03, dBm,
            45111578,Hz,              -76.85, dBm,
            45443244,Hz,              -76.53, dBm,
            45774910,Hz,              -76.34, dBm,
            46106576,Hz,              -76.70, dBm,
            46438242,Hz,              -76.67, dBm,
            46769908,Hz,              -76.92, dBm,
            47101574,Hz,              -76.90, dBm,
            47433240,Hz,              -77.08, dBm,
            47764906,Hz,              -76.78, dBm,
            48096572,Hz,              -76.53, dBm,
            48428238,Hz,              -76.43, dBm,
            48759904,Hz,              -76.11, dBm,
            49091570,Hz,              -76.29, dBm,
            49423236,Hz,              -76.17, dBm,
            49754902,Hz,              -76.09, dBm,
            50086568,Hz,              -75.56, dBm,
            50418234,Hz,              -75.27, dBm,
            50749900,Hz,              -75.43, dBm,
            51081566,Hz,              -75.90, dBm,
            51413232,Hz,              -76.25, dBm,
            51744898,Hz,              -76.55, dBm,
            52076564,Hz,              -76.32, dBm,
            52408230,Hz,              -76.68, dBm,
            52739896,Hz,              -76.85, dBm,
            53071562,Hz,              -76.56, dBm,
            53403228,Hz,              -76.11, dBm,
