Trace1,
Freq,,Amp,,
             1000000,Hz,              -26.13, dBm,
             1081666,Hz,              -29.98, dBm,
             1163332,Hz,              -34.38, dBm,
             1244998,Hz,              -39.76, dBm,
             1326664,Hz,              -45.58, dBm,
             1408330,Hz,              -52.36, dBm,
             1489996,Hz,              -59.49, dBm,
             1571662,Hz,              -65.66, dBm,
             1653328,Hz,              -69.06, dBm,
             1734994,Hz,              -70.69, dBm,
             1816660,Hz,              -70.68, dBm,
             1898326,Hz,              -71.25, dBm,
             1979992,Hz,              -71.81, dBm,
             2061658,Hz,              -71.32, dBm,
             2143324,Hz,              -71.57, dBm,
             2224990,Hz,              -71.65, dBm,
             2306656,Hz,              -71.87, dBm,
             2388322,Hz,              -71.92, dBm,
             2469988,Hz,              -71.69, dBm,
             2551654,Hz,              -72.32, dBm,
             2633320,Hz,              -72.14, dBm,
             2714986,Hz,              -72.08, dBm,
             2796652,Hz,              -71.49, dBm,
             2878318,Hz,              -72.18, dBm,
             2959984,Hz,              -72.52, dBm,
             3041650,Hz,              -72.57, dBm,
             3123316,Hz,              -71.98, dBm,
             3204982,Hz,              -72.71, dBm,
             3286648,Hz,              -72.43, dBm,
             3368314,Hz,              -72.29, dBm,
             3449980,Hz,              -71.37, dBm,
             3531646,Hz,              -71.99, dBm,
             3613312,Hz,              -72.46, dBm,
             3694978,Hz,              -72.61, dBm,
             3776644,Hz,              -72.63, dBm,
             3858310,Hz,              -72.93, dBm,
             3939976,Hz,              -71.59, dBm,
             4021642,Hz,              -71.42, dBm,
             4103308,Hz,              -71.63, dBm,
             4184974,Hz,              -72.08, dBm,
             4266640,Hz,              -71.63, dBm,
             4348306,Hz,              -71.66, dBm,
             4429972,Hz,              -71.54, dBm,
             4511638,Hz,              -71.60, dBm,
             4593304,Hz,              -70.98, dBm,
             4674970,Hz,              -71.94, dBm,
             4756636,Hz,              -72.13, dBm,
             4838302,Hz,              -71.95, dBm,
             4919968,Hz,              -72.13, dBm,
             5001634,Hz,              -72.02, dBm,
             5083300,Hz,              -71.48, dBm,
             5164966,Hz,              -72.40, dBm,
             5246632,Hz,              -72.44, dBm,
             5328298,Hz,              -72.85, dBm,
             5409964,Hz,              -73.14, dBm,
             5491630,Hz,              -73.52, dBm,
             5573296,Hz,              -73.20, dBm,
             5654962,Hz,              -73.43, dBm,
             5736628,Hz,              -73.60, dBm,
             5818294,Hz,              -73.46, dBm,
             5899960,Hz,              -73.27, dBm,
             5981626,Hz,              -73.29, dBm,
             6063292,Hz,              -72.91, dBm,
             6144958,Hz,              -73.42, dBm,
             6226624,Hz,              -73.40, dBm,
             6308290,Hz,              -73.31, dBm,
             6389956,Hz,              -73.12, dBm,
             6471622,Hz,              -73.40, dBm,
             6553288,Hz,              -73.44, dBm,
             6634954,Hz,              -73.30, dBm,
             6716620,Hz,              -73.05, dBm,
             6798286,Hz,              -72.98, dBm,
             6879952,Hz,              -72.92, dBm,
             6961618,Hz,              -73.06, dBm,
             7043284,Hz,              -73.42, dBm,
             7124950,Hz,              -73.32, dBm,
             7206616,Hz,              -73.53, dBm,
             7288282,Hz,              -73.36, dBm,
             7369948,Hz,              -73.46, dBm,
             7451614,Hz,              -73.68, dBm,
             7533280,Hz,              -73.17, dBm,
             7614946,Hz,              -73.82, dBm,
             7696612,Hz,              -73.44, dBm,
             7778278,Hz,              -73.92, dBm,
             7859944,Hz,              -73.55, dBm,
             7941610,Hz,              -73.63, dBm,
             8023276,Hz,              -73.98, dBm,
             8104942,Hz,              -73.28, dBm,
             8186608,Hz,              -73.76, dBm,
             8268274,Hz,              -73.44, dBm,
             8349940,Hz,              -73.62, dBm,
             8431606,Hz,              -73.96, dBm,
             8513272,Hz,              -74.04, dBm,
             8594938,Hz,              -73.91, dBm,
             8676604,Hz,              -73.90, dBm,
             8758270,Hz,              -73.58, dBm,
             8839936,Hz,              -73.82, dBm,
             8921602,Hz,              -73.98, dBm,
             9003268,Hz,              -73.85, dBm,
             9084934,Hz,              -73.40, dBm,
             9166600,Hz,              -73.47, dBm,
             9248266,Hz,              -73.28, dBm,
             9329932,Hz,              -73.77, dBm,
             9411598,Hz,              -73.66, dBm,
             9493264,Hz,              -73.79, dBm,
             9574930,Hz,              -73.78, dBm,
             9656596,Hz,              -72.90, dBm,
             9738262,Hz,              -73.54, dBm,
             9819928,Hz,              -73.59, dBm,
             9901594,Hz,              -73.89, dBm,
             9983260,Hz,              -73.35, dBm,
            10064926,Hz,              -73.85, dBm,
            10146592,Hz,              -73.65, dBm,
            10228258,Hz,              -74.12, dBm,
            10309924,Hz,              -73.88, dBm,
            10391590,Hz,              -74.03, dBm,
            10473256,Hz,              -74.31, dBm,
            10554922,Hz,              -73.97, dBm,
            10636588,Hz,              -74.15, dBm,
            10718254,Hz,              -74.19, dBm,
            10799920,Hz,              -73.95, dBm,
            10881586,Hz,              -74.27, dBm,
            10963252,Hz,              -74.40, dBm,
            11044918,Hz,              -74.08, dBm,
            11126584,Hz,              -74.31, dBm,
            11208250,Hz,              -74.06, dBm,
            11289916,Hz,              -74.15, dBm,
            11371582,Hz,              -74.00, dBm,
            11453248,Hz,              -74.25, dBm,
            11534914,Hz,              -75.18, dBm,
            11616580,Hz,              -74.46, dBm,
            11698246,Hz,              -74.62, dBm,
            11779912,Hz,              -74.62, dBm,
            11861578,Hz,              -74.44, dBm,
            11943244,Hz,              -74.43, dBm,
            12024910,Hz,              -74.45, dBm,
            12106576,Hz,              -74.51, dBm,
            12188242,Hz,              -74.39, dBm,
            12269908,Hz,              -74.20, dBm,
            12351574,Hz,              -74.63, dBm,
            12433240,Hz,              -74.40, dBm,
            12514906,Hz,              -74.41, dBm,
            12596572,Hz,              -74.58, dBm,
            12678238,Hz,              -74.36, dBm,
            12759904,Hz,              -74.33, dBm,
            12841570,Hz,              -74.61, dBm,
            12923236,Hz,              -74.41, dBm,
            13004902,Hz,              -73.71, dBm,
            13086568,Hz,              -74.14, dBm,
            13168234,Hz,              -74.10, dBm,
            13249900,Hz,              -73.78, dBm,
            13331566,Hz,              -74.15, dBm,
            13413232,Hz,              -73.50, dBm,
            13494898,Hz,              -73.47, dBm,
            13576564,Hz,              -73.43, dBm,
            13658230,Hz,              -73.48, dBm,
            13739896,Hz,              -73.55, dBm,
            13821562,Hz,              -73.44, dBm,
            13903228,Hz,              -73.34, dBm,
            13984894,Hz,              -73.55, dBm,
            14066560,Hz,              -73.55, dBm,
            14148226,Hz,              -74.44, dBm,
            14229892,Hz,              -74.11, dBm,
            14311558,Hz,              -74.36, dBm,
            14393224,Hz,              -74.56, dBm,
            14474890,Hz,              -74.31, dBm,
            14556556,Hz,              -74.47, dBm,
            14638222,Hz,              -75.07, dBm,
            14719888,Hz,              -74.91, dBm,
            14801554,Hz,              -74.90, dBm,
            14883220,Hz,              -74.73, dBm,
            14964886,Hz,              -74.67, dBm,
            15046552,Hz,              -74.92, dBm,
            15128218,Hz,              -74.62, dBm,
            15209884,Hz,              -74.75, dBm,
            15291550,Hz,              -74.85, dBm,
            15373216,Hz,              -75.03, dBm,
            15454882,Hz,              -74.71, dBm,
            15536548,Hz,              -74.94, dBm,
            15618214,Hz,              -74.76, dBm,
            15699880,Hz,              -74.77, dBm,
            15781546,Hz,              -74.80, dBm,
            15863212,Hz,              -75.08, dBm,
            15944878,Hz,              -74.83, dBm,
            16026544,Hz,              -74.77, dBm,
            16108210,Hz,              -75.10, dBm,
            16189876,Hz,              -74.78, dBm,
            16271542,Hz,              -74.99, dBm,
            16353208,Hz,              -75.30, dBm,
            16434874,Hz,              -74.98, dBm,
            16516540,Hz,              -75.11, dBm,
            16598206,Hz,              -75.23, dBm,
            16679872,Hz,              -74.54, dBm,
            16761538,Hz,              -75.22, dBm,
            16843204,Hz,              -75.30, dBm,
            16924870,Hz,              -75.02, dBm,
            17006536,Hz,              -75.28, dBm,
            17088202,Hz,              -75.15, dBm,
            17169868,Hz,              -74.87, dBm,
            17251534,Hz,              -75.20, dBm,
            17333200,Hz,              -75.40, dBm,
            17414866,Hz,              -75.33, dBm,
            17496532,Hz,              -75.34, dBm,
            17578198,Hz,              -74.96, dBm,
            17659864,Hz,              -75.32, dBm,
            17741530,Hz,              -75.19, dBm,
            17823196,Hz,              -75.28, dBm,
            17904862,Hz,              -75.22, dBm,
            17986528,Hz,              -75.50, dBm,
            18068194,Hz,              -75.14, dBm,
            18149860,Hz,              -75.30, dBm,
            18231526,Hz,              -75.41, dBm,
            18313192,Hz,              -75.31, dBm,
            18394858,Hz,              -75.07, dBm,
            18476524,Hz,              -75.34, dBm,
            18558190,Hz,              -75.43, dBm,
            18639856,Hz,              -74.96, dBm,
            18721522,Hz,              -75.17, dBm,
            18803188,Hz,              -75.70, dBm,
            18884854,Hz,              -75.50, dBm,
            18966520,Hz,              -75.64, dBm,
            19048186,Hz,              -75.43, dBm,
            19129852,Hz,              -75.43, dBm,
            19211518,Hz,              -75.66, dBm,
            19293184,Hz,              -75.51, dBm,
            19374850,Hz,              -75.40, dBm,
            19456516,Hz,              -75.40, dBm,
            19538182,Hz,              -75.19, dBm,
            19619848,Hz,              -75.44, dBm,
            19701514,Hz,              -75.55, dBm,
            19783180,Hz,              -75.55, dBm,
            19864846,Hz,              -75.59, dBm,
            19946512,Hz,              -75.42, dBm,
            20028178,Hz,              -75.36, dBm,
            20109844,Hz,              -75.26, dBm,
            20191510,Hz,              -75.22, dBm,
            20273176,Hz,              -75.53, dBm,
            20354842,Hz,              -75.26, dBm,
            20436508,Hz,              -75.53, dBm,
            20518174,Hz,              -74.77, dBm,
            20599840,Hz,              -75.22, dBm,
            20681506,Hz,              -75.65, dBm,
            20763172,Hz,              -75.47, dBm,
            20844838,Hz,              -75.88, dBm,
            20926504,Hz,              -75.41, dBm,
            21008170,Hz,              -75.43, dBm,
            21089836,Hz,              -75.31, dBm,
            21171502,Hz,              -75.41, dBm,
