SP,DC,TIME
90,175,295
41,179,253
53,190,299
20,164,250
72,139,239
77,119,230
9,145,244
69,177,277
5,103,264
96,165,291
24,150,260
9,182,282
76,152,252
30,199,219
24,197,200
99,113,264
28,159,266
0,185,215
39,115,204
9,192,233
62,176,241
70,142,231
12,193,231
1,166,244
13,146,244
8,148,231
44,193,298
82,143,200
60,121,300
86,111,229
6,194,296
19,104,292
46,178,289
22,147,259
63,181,235
83,174,259
8,187,281
44,125,243
5,186,234
24,138,207
98,167,285
59,197,232
79,160,234
77,112,221
62,125,215
9,163,249
5,172,295
27,121,287
84,194,254
41,103,270
44,182,264
35,105,210
28,185,284
26,175,235
30,165,240
58,189,202
87,176,278
16,145,256
55,175,283
82,118,268
27,180,205
86,158,232
49,159,270
75,145,292
90,129,248
59,174,251
82,174,208
90,120,231
4,152,249
21,178,247
7,174,228
99,165,283
76,167,300
24,105,216
98,124,297
39,159,218
56,102,292
65,116,299
92,101,287
77,189,271
12,165,265
93,100,263
41,120,278
97,159,219
54,147,239
86,149,262
75,170,231
20,181,260
48,108,226
89,171,281
83,122,255
82,183,263
7,131,213
84,131,281
59,186,246
99,139,284
59,105,246
22,119,203
89,130,230
73,173,264
100,167,203
47,156,259
63,137,284
90,126,264
32,154,246
47,190,201
79,198,241
49,199,293
36,144,273
27,173,248
17,130,264
49,101,238
100,140,296
47,189,279
65,128,236
69,142,214
47,129,289
32,137,267
73,138,251
10,196,273
67,139,231
54,171,268
25,130,203
19,165,228
4,101,211
2,102,220
38,126,221
58,183,262
76,170,268
4,161,298
25,147,241
30,110,255
51,161,204
98,131,201
92,152,299
14,187,293
45,117,292
38,112,282
86,173,215
20,128,294
32,111,238
83,105,268
73,143,275
62,186,239
49,106,266
57,114,226
93,192,209
3,120,270
11,150,278
8,174,270
100,180,212
8,192,261
55,190,231
4,185,299
7,184,224
87,160,255
4,162,251
24,156,295
5,111,270
21,160,277
12,172,272
55,197,264
43,164,292
96,191,227
9,142,287
34,137,222
25,120,200
2,162,289
13,134,275
23,153,259
79,126,217
48,109,212
93,159,224
11,121,300
45,190,280
9,152,218
55,151,269
93,160,288
55,167,246
34,165,287
92,125,284
76,123,238
26,199,297
29,153,283
44,193,249
10,167,211
75,172,253
17,153,281
54,199,221
63,186,205
0,179,223
3,177,220
30,182,293
93,102,283
56,157,253
49,107,259
74,176,293
28,126,263
12,108,279
14,129,235
88,140,204
34,125,243
62,200,275
97,133,298
0,196,278
69,188,245
100,177,244
96,173,252
13,116,232
11,176,258
94,143,237
52,182,270
79,113,259
26,192,222
66,175,264
18,188,260
26,106,211
18,173,299
72,102,259
18,136,241
41,108,291
89,139,209
37,154,232
78,190,268
22,138,231
0,188,298
13,129,279
100,102,218
42,187,203
93,104,250
42,153,203
28,102,288
91,181,200
52,146,288
46,150,251
18,144,232
69,188,281
62,152,291
40,166,265
62,130,300
54,144,245
87,179,257
3,118,208
29,163,270
68,165,218
62,180,286
35,144,208
1,188,255
88,148,265
9,188,209
77,194,210
6,149,246
80,182,207
58,106,210
98,199,219
18,200,268
90,149,283
91,178,272
72,183,286
15,112,240
41,103,212
28,159,258
53,170,231
50,115,224
87,136,271
12,135,288
57,128,289
25,150,226
2,109,258
72,185,270
95,186,275
22,195,245
61,150,299
99,115,255
82,158,244
4,114,257
35,157,252
48,158,236
100,129,268
32,124,214
21,135,286
38,103,289
63,186,223
4,100,277
73,146,299
0,161,201
40,138,227
67,139,276
78,112,281
86,129,300
42,199,286
93,185,297
100,145,212
